,Tweets,AuthorID
105,@leap36 @NFLonPrime @Titans @packers @PrimeVideo My fault my guy! They made me do it!! 🤣🤣🤣🤣🤣,<generator object <genexpr> at 0x7fbde09f7350>
106,@AstronautKI YO!!! So damn 🔥🔥🔥🔥🔥🔥🔥. Just listened to it 5x back to back to back to back to back,<generator object <genexpr> at 0x7fbde09f7350>
107,CONGRATULATIONS QUEEN KAREN BASS!!!! 👏🏾👏🏾👏🏾🙌🏾🙌🏾🙌🏾🙌🏾🤎🤎🤎 https://t.co/qmEwZiosDT,<generator object <genexpr> at 0x7fbde09f7350>
108,WOW!!! Paul Allen is a National Treasure!! 🔥🔥🔥🔥🔥🔥🔥🗣️🗣️🗣️🗣️ https://t.co/goOURvyHi4,<generator object <genexpr> at 0x7fbde09f7350>
109,"It started in Crenshaw, now the marathon continues. 🏁 Stay tuned for #HUSSLEDoc 💙🙏🏾 @makespringhill #LegendsNeverDie👑  https://t.co/wBKZnikDQ8",<generator object <genexpr> at 0x7fbde09f7350>
110,Prayers to @UVAFootball program and the families who lost their Young King's!! Sad Sad Sad 😢,<generator object <genexpr> at 0x7fbde09f7350>
111,By FAR the game of the YEAR that was!! WOW WOW WOW,<generator object <genexpr> at 0x7fbde09f7350>
112,LONG LIVE THE 🚀 MAN!!! Sky high YOUNG KING 👑 TAKEOFF 🙌🏾🙌🏾🙌🏾🤎 https://t.co/BwIgezCCHh,<generator object <genexpr> at 0x7fbde09f7350>
113,A REAL LIFE 🎥 https://t.co/x67y91ftxd,<generator object <genexpr> at 0x7fbde09f7350>
114,"@CuffsTheLegend FACTS!!! One of my fav joints he's done!! ""I do this for the love and it's free of charge, I don't need to be in jail to be behind bars""",<generator object <genexpr> at 0x7fbde09f7350>
115,@RomeTrav https://t.co/ZPboRfevxD,<generator object <genexpr> at 0x7fbde09f7350>
116,the floor I think is excessive IMO. He’s not the person that’s being portrayed of him. Anyways back to my rehab session.,<generator object <genexpr> at 0x7fbde09f7350>
117,💭 I told you guys that I don’t believe in sharing hurtful information. And I’ll continue to be that way but Kyrie apologized and he should be able to play. That’s what I think. It’s that simple.  Help him learn- but he should be playing. What he’s asked to do to get back on,<generator object <genexpr> at 0x7fbde09f7350>
118,Kratos fit on the court? For sure…. 😤 AND at Bronny’s games!! 🤷🏾‍♂️😜 The axe is going on the road too. 👑 #GodofWarRagnarok #PlayStationPartner @PlayStation https://t.co/ytKzreBNAy,<generator object <genexpr> at 0x7fbde09f7350>
119,@BJwhite @Shalynda_jai_ I 🫡 that Black Queen!! She handled that shit like a CHAMP!!! 👏🏾👏🏾👏🏾👏🏾👏🏾,<generator object <genexpr> at 0x7fbde09f7350>
120,"I’m gone be honest 20 mins into it, I just had to stop watching “UNTOLD” OPERATION FLAGRANT FOUL. Especially with having a  game tomorrow and I probably won’t finish it until i retire. Can’t have my mind feeling a way!",<generator object <genexpr> at 0x7fbde09f7350>
121,KD ain't right!!! KILLER 😤😤😤😤,<generator object <genexpr> at 0x7fbde09f7350>
122,Now when I need the rest I can't SLEEP!! 🧠 🏎️,<generator object <genexpr> at 0x7fbde09f7350>
123,@CuffsTheLegend INSANE bro!!! Iconic for sure,<generator object <genexpr> at 0x7fbde09f7350>
124,@kylekuzma Unfortunately they won't my brother! You know how it goes. 🤦🏾‍♂️. Miss you bro!,<generator object <genexpr> at 0x7fbde09f7350>
125,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥For #TheTheYoungMenAtAKRON Go Zips 🦘 https://t.co/iVB0svW2sX,<generator object <genexpr> at 0x7fbde09f7350>
126,Who knew all I needed was a LeBreakthrough. 🤯🤣 Appreciate my #GodofWarRagnarok support team @BenStiller and John Travolta! 🙏🏾👑 @PlayStation #PlayStationPartner https://t.co/WhKJtqSek3,<generator object <genexpr> at 0x7fbde09f7350>
127,@BrysonAdair https://t.co/B8CJ4ZzgBy,<generator object <genexpr> at 0x7fbde09f7350>
128,SAY IT AGAIN AND AGAIN 🗣️🗣️🗣️🗣️ https://t.co/paiJXZIatd,<generator object <genexpr> at 0x7fbde09f7350>
129,JT TUIMOLOAU!!!! Say that name again and again!,<generator object <genexpr> at 0x7fbde09f7350>
130,O-H…..🌰,<generator object <genexpr> at 0x7fbde09f7350>
131,"I dont know Elon Musk and, tbh, I could care less who owns twitter.  But I will say that if this is true, I hope he and his people take this very seriously because this is scary AF.  So many damn unfit people saying hate speech is free speech. https://t.co/Sy0jvXIBnC",<generator object <genexpr> at 0x7fbde09f7350>
132,"NFL Fans, I got something special coming for y'all!! Announcement coming on
IG Live at some point today! 👑🏈💈",<generator object <genexpr> at 0x7fbde09f7350>
133,Jordan Poole so COLD!!! 🥶,<generator object <genexpr> at 0x7fbde09f7350>
134,*Simons. My bad bruh! Anyways you are 🔥🔥🔥🔥🔥🔥🔥,<generator object <genexpr> at 0x7fbde09f7350>
135,Anfernee Simmons is on 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,<generator object <genexpr> at 0x7fbde09f7350>
136,🌬️🙌🏾👑 https://t.co/HVXlnG2Elg,<generator object <genexpr> at 0x7fbde09f7350>
137,VINTAGE ⛄️ is BACK!!! SNOWFALL,<generator object <genexpr> at 0x7fbde09f7350>
138,R.I.P.  Tony man!! Great ref but greater dude! Loved when I ran on the court for warmups and he would be on the game that night! Your smile &amp; laugh will be missed tremendously here in our sport! 🙏🏾🤎👑 https://t.co/JI23eZczTi,<generator object <genexpr> at 0x7fbde09f7350>
139,FACTS!!!! Lil Luke speaking gospel!! DRILLED OUT 🗣️🗣️🗣️🗣️ https://t.co/MP8x7xmrSC,<generator object <genexpr> at 0x7fbde09f7350>
140,Appreciate the love!! That's so 🔥🔥🔥🔥🔥🔥🔥🔥🔥. Been a helluva ride up to this point. More to come! #Year20 👑 https://t.co/WJNSi9YcXU,<generator object <genexpr> at 0x7fbde09f7350>
141,👑 Vs 🕰️ https://t.co/auGs2ktAeI,<generator object <genexpr> at 0x7fbde09f7350>
142,@D19J 12,<generator object <genexpr> at 0x7fbde09f7350>
143,All in the family! 🤴🏾 @beatsbydre #JamesGang👑 https://t.co/pGEP8G7t04,<generator object <genexpr> at 0x7fbde09f7350>
144,@jason_blum Jason you guys always kill it man! When I see “Blumhouse” come across the screen the wife and I both know it’s ON &amp; POPPIN! 😱😱😱😱🤣🤣🤣,<generator object <genexpr> at 0x7fbde09f7350>
145,Halloween Ends was so GOOD!!!! @jamieleecurtis you're such a LEGEND &amp; BADASS #MichaelMyers 🔪🩸,<generator object <genexpr> at 0x7fbde09f7350>
146,Hey @EAMaddenNFL when I get a pick why can't I choose to take the gang to the end zone with me?? 🤷🏾‍♂️😁,<generator object <genexpr> at 0x7fbde09f7350>
147,@AstronautKI So GOOD so far G!!!,<generator object <genexpr> at 0x7fbde09f7350>
148,WOW!! WHAT A GAME!!!! #BAMAvsTEN,<generator object <genexpr> at 0x7fbde09f7350>
149,@DCarter12_ Happy Gday Cuzzo!!! 🙏🏾,<generator object <genexpr> at 0x7fbde09f7350>
150,He's really H.I.M. Keep working Young 🤴🏾!! https://t.co/XKo47Mhytc,<generator object <genexpr> at 0x7fbde09f7350>
151,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣!!! I swear that me with Vannah! https://t.co/8D07tj4qrN,<generator object <genexpr> at 0x7fbde09f7350>
152,Sheesh Cooper Kupp!! YAC to the house!!,<generator object <genexpr> at 0x7fbde09f7350>
153,😤😤😤😤😤😤 https://t.co/IHZZ6JBnqI,<generator object <genexpr> at 0x7fbde09f7350>
154,🔥🔥🔥🔥🔥🔥🔥 https://t.co/qpSObUKkyh,<generator object <genexpr> at 0x7fbde09f7350>
155,#Browns  Keep going! Great start! Chubbs then Cooooooop.,<generator object <genexpr> at 0x7fbde09f7350>
156,That's so 🔥🔥🔥🔥🔥🔥!! SHEP A LEGEND! 🫡 https://t.co/PVH8zD4I60,<generator object <genexpr> at 0x7fbde09f7350>
157,That was good but that last one was SICK!!!! He toooooooo TOUGH 💪🏾 https://t.co/46rKGPuX59,<generator object <genexpr> at 0x7fbde09f7350>
158,If y'all haven't checked it out yet don't wait any longer! It's like THAT!! Let me know what y'all think afterwards! @netflix #TheRedeemTeam 🥇🇺🇸🫡 https://t.co/VttOPypft5,<generator object <genexpr> at 0x7fbde09f7350>
159,MY GOODNESS!! This Herbo/Benny The Butcher track is INSANE!! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥  @gherbo @BennyBsf 🫡,<generator object <genexpr> at 0x7fbde09f7350>
160,🤷🏾‍♂️🤣🤣🤣🤣🤣. Ace Rothstein vibes https://t.co/OUXTIupTsZ,<generator object <genexpr> at 0x7fbde09f7350>
161,🔥🔥🔥🔥🔥🔥🔥 https://t.co/cARAZpGvhX,<generator object <genexpr> at 0x7fbde09f7350>
162,Thanks for having me!! Love y'all 🤎👑 https://t.co/LQo2gN75Wg,<generator object <genexpr> at 0x7fbde09f7350>
163,Had to jump on with that UNBELIEVABLE cast there!! Thanks for having me! 🤎🙏🏾👑 https://t.co/wY2Sd2b8nl,<generator object <genexpr> at 0x7fbde09f7350>
164,What a ball by 🐐 too! Sheesh,<generator object <genexpr> at 0x7fbde09f7350>
165,MIKE EVANS!!!! Bro stop it!!,<generator object <genexpr> at 0x7fbde09f7350>
166,That play was INSANE!!! Wow,<generator object <genexpr> at 0x7fbde09f7350>
167,My DOG Mike Evans!! 👏🏾👏🏾,<generator object <genexpr> at 0x7fbde09f7350>
168,Patty Mahomes 🤣🤣🤣🤣🤣. So damn good!! 🪄,<generator object <genexpr> at 0x7fbde09f7350>
169,I LOVE DEVIN WHITE!!!!! ANIMAL 💪🏾,<generator object <genexpr> at 0x7fbde09f7350>
170,OLAVE!! O-H.... TD!,<generator object <genexpr> at 0x7fbde09f7350>
171,🍯 Badger Pick!! 🔥,<generator object <genexpr> at 0x7fbde09f7350>
172,Aye Miyan Williams go sit down somewhere!! Hahahaha! 70 to the house! 4TDs. O-H......#GoBucks🌰,<generator object <genexpr> at 0x7fbde09f7350>
173,Year 20 is upon us ALL! #ThekidfromAKRON🤴🏾 https://t.co/sMVMg6zxl8 https://t.co/lhfrg9OybT,<generator object <genexpr> at 0x7fbde09f7350>
174,@dclane23 Would be 🔥🔥🔥🔥. Wish I was in town for it,<generator object <genexpr> at 0x7fbde09f7350>
175,@djmeel @pr_RWTW @RAVIEB 🤣🤣🤣🤣🤣 https://t.co/VtxLOnj3JV,<generator object <genexpr> at 0x7fbde09f7350>
176,@CuffsTheLegend FACTS!!!! He never misses. That boy talented as hell man! Bangers for days!!,<generator object <genexpr> at 0x7fbde09f7350>
177,@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣,<generator object <genexpr> at 0x7fbde09f7350>
178,@WORLDWAD @n_velca Congrats bro!! Where you at? Best of luck to you! 🙏🏾✊🏾👑,<generator object <genexpr> at 0x7fbde09f7350>
179,#ThekidfromAKRON🤴🏾 https://t.co/SXUDM3lVVU,<generator object <genexpr> at 0x7fbde09f7350>
180,OMG CEEDEE 🐑!!!!!!!!! WOW,<generator object <genexpr> at 0x7fbde09f7350>
181,SAQUON IS BACK!!!!!!,<generator object <genexpr> at 0x7fbde09f7350>
182,Yessir!!! 🙌🏾🙌🏾🙌🏾 https://t.co/TPpT5KyovI,<generator object <genexpr> at 0x7fbde09f7350>
183,🙌🏾🙌🏾🙌🏾 LFG!!!!!! 🔥🔥🔥🔥🔥🔥🔥 https://t.co/TJePWYyGo5,<generator object <genexpr> at 0x7fbde09f7350>
184,CJ just stop it man!!!! 🎯🎯🎯🎯🎯!!! #HeismanStroud O-H...🗣️🗣️🗣️🗣️🌰,<generator object <genexpr> at 0x7fbde09f7350>
185,MOOD 🤷🏾‍♂️! O-H...🗣️🗣️🗣️🗣️🗣️ #GoBuckeyes🌰 https://t.co/qJwBrg0FY4,<generator object <genexpr> at 0x7fbde09f7350>
186,Get these boys off the 🎮!! Past them now! O-H….. 🗣️🗣️🗣️🗣️🌰,<generator object <genexpr> at 0x7fbde09f7350>
187,Another 1! *Khalid voice. O-H……. 🗣️🗣️🗣️🗣️🗣️🗣️,<generator object <genexpr> at 0x7fbde09f7350>
188,And by the way these BLACK UNIS ARE SICK!!!!!! 🔥🔥🔥🔥🔥🔥🔥🔥,<generator object <genexpr> at 0x7fbde09f7350>
189,7-0! O-H..🗣️🗣️🗣️🗣️,<generator object <genexpr> at 0x7fbde09f7350>
190,Do I have college eligibility if I went to play another sport besides basketball? How does that rule work?,<generator object <genexpr> at 0x7fbde09f7350>
